WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((120.9853908 14.6045366,120.9854468 14.6046201,120.9854879 14.6046721,120.9855388 14.604709,120.9856099 14.6047379,120.9857809 14.6047795))",w2667099,"2667099",way,trunk,"2","60",Lerma Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9801968 14.5927997,120.9801611 14.5929514,120.9801248 14.593109,120.9800358 14.5933642,120.9800125 14.5934487,120.9799517 14.5936499,120.9799323 14.5937555,120.9799284 14.5938491,120.9799322 14.593931,120.9799572 14.5940115,120.9799788 14.5940835,120.9800218 14.5941691,120.9800849 14.5942277,120.9801586 14.5942817,120.9804327 14.5944664,120.9808268 14.5947123))",w2667111,"2667111",way,trunk,"3","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9755414 14.5830399,120.9754496 14.5831957,120.9752566 14.5835962,120.9750157 14.5840754,120.9749487 14.584201,120.9744955 14.5850375))",w4075789,"4075789",way,trunk,"4","60",Bonifacio Drive,yes,Malecon Drive,,,,,,
"MULTILINESTRING ((120.9708788 14.590474,120.9710372 14.5903285,120.9711502 14.5902117,120.9712355 14.5900907,120.9716378 14.5894379,120.9716578 14.5894023,120.9718018 14.5891749,120.9720122 14.5888646,120.9725584 14.5879826,120.9726221 14.5878721,120.9729059 14.587421,120.9731475 14.5870191,120.9731883 14.5869513,120.973353 14.5866775,120.9734202 14.5865656,120.9736827 14.5860957,120.9739676 14.5856076,120.9742999 14.5849543,120.9743631 14.5848108,120.9744314 14.5846557))",w4075790,"4075790",way,trunk,"4","60",Bonifacio Drive,yes,Malecon Drive,concrete,,,,,
"MULTILINESTRING ((120.9894112 14.5521423,120.9894925 14.551822,120.9896246 14.551177,120.9898567 14.5502652,120.9901778 14.5490357,120.9903535 14.5486294))",w4075794,"4075794",way,trunk,"2","60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((121.0259351 14.5472384,121.0296638 14.5503791))",w4078780,"4078780",way,trunk,"3","60",Ayala Tunnel,yes,,asphalt,"50",Epifanio de los Santos Avenue,MMDA,,
"MULTILINESTRING ((120.9969325 14.5770886,120.9970012 14.5769288,120.9970548 14.5768751,120.9972254 14.5765323))",w4078786,"4078786",way,trunk,"5","60",Osmeña Highway,yes,South Superhighway,asphalt,,President Sergio Osmeña Highway,,South Superhighway,South Luzon Expressway
"MULTILINESTRING ((121.050817 14.6534952,121.0505941 14.6536748,121.050417 14.6537982,121.0502123 14.6539316,121.0501025 14.6539996,121.0499685 14.654072,121.0497592 14.6541747,121.0496335 14.654233,121.04946 14.6542887,121.0493319 14.6543237,121.0492164 14.6543508,121.0491051 14.6543702,121.048991 14.6543886,121.0488127 14.6544052,121.0486599 14.6544081,121.0485331 14.6544023,121.0484334 14.6543904,121.0483357 14.654373,121.0482422 14.6543516,121.0481585 14.6543315,121.0480625 14.6543114,121.0478709 14.6542477))",w4084730,"4084730",way,trunk,"10","60",Elliptical Road,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0741879 14.6236702,121.0741212 14.6235181,121.0740901 14.6234471,121.073579 14.6223668,121.0730502 14.6211851,121.0729341 14.6209217,121.0721114 14.6191555,121.0718776 14.6186482))",w4095391,"4095391",way,trunk,"4","60",Katipunan Avenue,yes,,,,Pres. Carlos P. Garcia Avenue,,,
"MULTILINESTRING ((121.124564 14.6248285,121.1247 14.6239833,121.1247833 14.6237219,121.1249029 14.6234825,121.1250072 14.6233252,121.1252152 14.623045,121.1253547 14.6228985,121.1262857 14.6219312,121.1264269 14.6217888,121.1267689 14.6214429,121.127106 14.6210905,121.1271588 14.6210311,121.127571 14.6206039,121.1276728 14.6205055,121.1282134 14.6199905,121.1283514 14.6198496,121.128672 14.6194707,121.1287787 14.6193894,121.1293844 14.6191171,121.1294882 14.6190597,121.1295673 14.6190314,121.1300866 14.6188068,121.1302995 14.6187165,121.1305456 14.6186147,121.1307452 14.6185323,121.1309226 14.6184589,121.130978 14.618436,121.1311226 14.6183842,121.1313082 14.6183178,121.1320951 14.6180816,121.1327867 14.6178633,121.1328457 14.6178426,121.1333429 14.6176981,121.1334297 14.6176741,121.1337025 14.6175806,121.1339575 14.6174932,121.1341552 14.6174254,121.1348557 14.6172223,121.1351886 14.6171618,121.1352478 14.6171593,121.135563 14.6171461,121.1361855 14.6171732,121.1364022 14.6171826,121.1367617 14.617193,121.1369951 14.6172188,121.1370933 14.6172374,121.1372391 14.6172721,121.1373799 14.617324,121.1375195 14.6173876,121.137789 14.617566,121.1379041 14.6176536,121.1382066 14.6178818,121.1386405 14.6181974,121.1387917 14.6183013,121.1393509 14.618724,121.1395523 14.618831,121.1398461 14.6189089,121.1400827 14.6189012,121.1403325 14.6188242,121.1404514 14.6187466,121.1405196 14.6186981,121.1406177 14.6185848,121.1406753 14.6184692,121.1408286 14.6179827,121.1408608 14.6178805,121.1408863 14.6178075,121.1409561 14.6174746,121.1409738 14.6173805,121.1410446 14.6171516,121.1411162 14.6169973,121.1413096 14.6167346,121.141518 14.6165353,121.1417182 14.6164174,121.141883 14.6163541,121.1420433 14.6163125,121.1422703 14.6162853,121.1424541 14.6162965,121.1426094 14.6163278,121.1427044 14.6163567,121.1427447 14.616377,121.1428999 14.6165085,121.1433362 14.6169173,121.143629 14.6172556,121.1437546 14.6175161,121.1438386 14.6177939,121.143942 14.6180293,121.1440898 14.6182255,121.1442208 14.618308,121.1447033 14.6185336,121.1449451 14.6187146,121.1451303 14.6190113,121.1453192 14.6194494,121.1454261 14.6196784,121.1455673 14.619927,121.1457366 14.6200758,121.1461115 14.6202228,121.1463095 14.6202538))",w4243609,"4243609",way,trunk,"4","50",Sumulong Highway,,,asphalt,,,,,
"MULTILINESTRING ((120.992595 14.5371995,120.992555 14.5374913,120.9924954 14.5379596,120.9924316 14.5385769,120.9923317 14.5393266,120.9923049 14.5395116,120.9922493 14.5397231))",w4245637,"4245637",way,trunk,"3","60",Roxas Boulevard,yes,,asphalt,,,,,
